reg_no | back_codes | back_names
23102102004 | 100204 | PROGRAMMING FOR PROBLEM SOLVING
23102102008 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES)
23104102001 | 103201 | PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS)
23104102004 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105102003 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105102012 | 100202,105202 | ENGINEERING GRAPHICS & DESIGN,MATHEMATICS - II (PROBABILITY AND STATISTICS)
23105102022 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105102024 | 100201,100202 | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN
23105102029 | 100202,105201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (SEMICONDUCTOR PHYSICS)
23105102042 | 100201 | BASIC ELECTRICAL ENGINEERING
23105102044 | 105201 | PHYSICS (SEMICONDUCTOR PHYSICS)
23105102045 | 105202 | MATHEMATICS - II (PROBABILITY AND STATISTICS)
23105102047 | 105201 | PHYSICS (SEMICONDUCTOR PHYSICS)
23105102048 | 100201,105202 | BASIC ELECTRICAL ENGINEERING,MATHEMATICS - II (PROBABILITY AND STATISTICS)
23105102052 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105102055 | 100202,105202 | ENGINEERING GRAPHICS & DESIGN,MATHEMATICS - II (PROBABILITY AND STATISTICS)
23105102057 | 100202,105201,105202 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (SEMICONDUCTOR PHYSICS),MATHEMATICS - II (PROBABILITY AND STATISTICS)
23110102002 | 103201 | PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS)
23101103002 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101103003 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101103004 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101103005 | 100203,101202 | CHEMISTRY,MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101103007 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101103008 | 100204,100205 | PROGRAMMING FOR PROBLEM SOLVING,WORKSHOP MANUFACTURING PRACTICES
23101103009 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101103014 | 100203 | CHEMISTRY
23101103015 | 100203 | CHEMISTRY
23101103017 | 100203 | CHEMISTRY
23102103001 | 100203 | CHEMISTRY
23102103003 | 100203 | CHEMISTRY
23102103007 | 100203 | CHEMISTRY
23102103008 | 100203,100206 | CHEMISTRY,ENGLISH
23102103009 | 100203 | CHEMISTRY
23104103003 | 100202 | ENGINEERING GRAPHICS & DESIGN
23104103005 | 100202 | ENGINEERING GRAPHICS & DESIGN
23104103007 | 100202 | ENGINEERING GRAPHICS & DESIGN
23104103010 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103001 | 100201 | BASIC ELECTRICAL ENGINEERING
23105103002 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103003 | 100201 | BASIC ELECTRICAL ENGINEERING
23105103007 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103008 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103009 | 100201,100202 | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN
23105103010 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103011 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103013 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103014 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103015 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103017 | 100201,100202 | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN
23105103018 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103019 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103020 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103022 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103023 | 100201 | BASIC ELECTRICAL ENGINEERING
23105103026 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103032 | 100201,100202 | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN
23105103033 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103035 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103037 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103038 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103040 | 100202,105202 | ENGINEERING GRAPHICS & DESIGN,MATHEMATICS - II (PROBABILITY AND STATISTICS)
23105103041 | 100201,100202 | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN
23105103043 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103044 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103045 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103046 | 100201,100202,100202P,105201P | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN,ENGINEERING GRAPHICS & DESIGN (Practical),PHYSICS (SEMICONDUCTOR PHYSICS) (Practical)
23105103048 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103049 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105103052 | 100202 | ENGINEERING GRAPHICS & DESIGN
23110103001 | 100202,103201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS)
23110103002 | 100202 | ENGINEERING GRAPHICS & DESIGN
23110103003 | 100202,103201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS)
23110103004 | 100202,103201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS)
23110103005 | 100202 | ENGINEERING GRAPHICS & DESIGN
23110103006 | 100202,103201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS)
23101106003 | 100203,100205,101202 | CHEMISTRY,WORKSHOP MANUFACTURING PRACTICES,MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101106004 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101106006 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23101106008 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS)
23102106006 | 100203 | CHEMISTRY
23102106009 | 100203 | CHEMISTRY
23103106005 | 100202 | ENGINEERING GRAPHICS & DESIGN
23103106008 | 100202 | ENGINEERING GRAPHICS & DESIGN
23105106001 | 105201,105202 | PHYSICS (SEMICONDUCTOR PHYSICS),MATHEMATICS - II (PROBABILITY AND STATISTICS)
23105106003 | 100202,105201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (SEMICONDUCTOR PHYSICS)
23105106005 | 100202 | ENGINEERING GRAPHICS & DESIGN
